Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,HumanDevIndex,GovtType,HospitalBeds,Continent,PopDensity,AvgMarchTemp,Lockdown,Population,ScaledCases,ScaledFatalities
1,,Afghanistan,1/22/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
2,,Afghanistan,1/23/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
3,,Afghanistan,1/24/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
4,,Afghanistan,1/25/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
5,,Afghanistan,1/26/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
6,,Afghanistan,1/27/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
7,,Afghanistan,1/28/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
8,,Afghanistan,1/29/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
9,,Afghanistan,1/30/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
10,,Afghanistan,1/31/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
11,,Afghanistan,2/1/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
12,,Afghanistan,2/2/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
13,,Afghanistan,2/3/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
14,,Afghanistan,2/4/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
15,,Afghanistan,2/5/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
16,,Afghanistan,2/6/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
17,,Afghanistan,2/7/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
18,,Afghanistan,2/8/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
19,,Afghanistan,2/9/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
20,,Afghanistan,2/10/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
21,,Afghanistan,2/11/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
22,,Afghanistan,2/12/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
23,,Afghanistan,2/13/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
24,,Afghanistan,2/14/2020,0,0,0.496,Presidential Republic,0.5,Asia,59.63,47.3,no,"38,928,346",0,0
